#  Time      R1      e_R1      R2      e_R2       R3     e_R3      R4       e_R4
   0.000  2178.00    46.67   560.00    23.66   149.00    12.21    58.00     7.62
   1.280  2056.00    45.34   512.00    22.63   142.00    11.92    50.00     7.07
   2.560  1961.00    44.28   492.00    22.18   143.00    11.96    52.00     7.21
   3.840  1864.00    43.17   451.00    21.24   149.00    12.21    39.00     6.24
   5.120  1725.00    41.53   456.00    21.35   126.00    11.22    42.00     6.48
   6.400  1631.00    40.39   411.00    20.27   142.00    11.92    35.00     5.92
   7.680  1714.00    41.40   401.00    20.02   118.00    10.86    49.00     7.00
   8.960  1533.00    39.15   386.00    19.65   119.00    10.91    39.00     6.24
  10.240  1522.00    39.01   369.00    19.21   127.00    11.27    37.00     6.08
  11.520  1391.00    37.30   356.00    18.87   116.00    10.77    40.00     6.32
  12.800  1289.00    35.90   339.00    18.41   100.00    10.00    37.00     6.08
  14.080  1290.00    35.92   320.00    17.89   100.00    10.00    36.00     6.00
  15.360  1259.00    35.48   302.00    17.38   101.00    10.05    25.00     5.00
  16.640  1163.00    34.10   285.00    16.88    83.00     9.11    32.00     5.66
  17.920  1116.00    33.41   266.00    16.31    81.00     9.00    41.00     6.40
  19.200  1080.00    32.86   269.00    16.40    73.00     8.54    39.00     6.24
  20.480  1039.00    32.23   245.00    15.65    72.00     8.49    23.00     4.80
  21.760   955.00    30.90   240.00    15.49    76.00     8.72    33.00     5.74
  23.040   990.00    31.46   223.00    14.93    74.00     8.60    27.00     5.20
  24.320   891.00    29.85   224.00    14.97    60.00     7.75    27.00     5.20
  25.600   834.00    28.88   178.00    13.34    76.00     8.72    19.00     4.36
  26.880   791.00    28.12   211.00    14.53    67.00     8.19    24.00     4.90
  28.160   743.00    27.26   180.00    13.42    53.00     7.28    23.00     4.80
  29.440   736.00    27.13   179.00    13.38    52.00     7.21    21.00     4.58
  30.720   697.00    26.40   153.00    12.37    63.00     7.94    21.00     4.58
  32.000   684.00    26.15   173.00    13.15    58.00     7.62    13.00     3.61
  33.280   614.00    24.78   172.00    13.11    57.00     7.55    19.00     4.36
  34.560   650.00    25.50   168.00    12.96    47.00     6.86     6.00     2.45
  35.840   585.00    24.19   154.00    12.41    49.00     7.00    15.00     3.87
