#Time      R1        e_R1    R2        e_R2     R3       e_R3      R4     e_R4
   0.000  4504.00    67.11  1112.00    33.35   319.00    17.86   131.00    11.45
   1.193  4408.00    66.39  1107.00    33.27   362.00    19.03   131.00    11.45
   2.387  4138.00    64.33  1060.00    32.56   335.00    18.30   120.00    10.95
   3.580  4259.00    65.26  1037.00    32.20   335.00    18.30   122.00    11.05
   4.773  4188.00    64.71  1020.00    31.94   344.00    18.55   111.00    10.54
   5.967  4031.00    63.49  1004.00    31.69   300.00    17.32   120.00    10.95
   7.160  4007.00    63.30   984.00    31.37   275.00    16.58   109.00    10.44
   8.353  4117.00    64.16   997.00    31.58   324.00    18.00   110.00    10.49
   9.547  3931.00    62.70   999.00    31.61   286.00    16.91   110.00    10.49
  10.740  3915.00    62.57   917.00    30.28   308.00    17.55    97.00     9.85
  11.933  3782.00    61.50   947.00    30.77   304.00    17.44    92.00     9.59
  13.127  3651.00    60.42   948.00    30.79   275.00    16.58   107.00    10.34
  14.320  3682.00    60.68   925.00    30.41   272.00    16.49    89.00     9.43
  15.513  3555.00    59.62   887.00    29.78   281.00    16.76   107.00    10.34
  16.707  3432.00    58.58   890.00    29.83   281.00    16.76   105.00    10.25
  17.900  3577.00    59.81   809.00    28.44   275.00    16.58   118.00    10.86
  19.093  3491.00    59.08   898.00    29.97   265.00    16.28    96.00     9.80
  20.287  3403.00    58.34   878.00    29.63   247.00    15.72    87.00     9.33
  21.480  3435.00    58.61   834.00    28.88   260.00    16.12    99.00     9.95
  22.673  3256.00    57.06   855.00    29.24   249.00    15.78   102.00    10.10
  23.867  3380.00    58.14   831.00    28.83   278.00    16.67    93.00     9.64
  25.060  3283.00    57.30   830.00    28.81   229.00    15.13   106.00    10.30
  26.253  3176.00    56.36   822.00    28.67   264.00    16.25    90.00     9.49
  27.447  3227.00    56.81   829.00    28.79   255.00    15.97    63.00     7.94
  28.640  3180.00    56.39   841.00    29.00   237.00    15.39    80.00     8.94
  29.833  3149.00    56.12   804.00    28.35   250.00    15.81    82.00     9.06
  31.027  3111.00    55.78   798.00    28.25   224.00    14.97    80.00     8.94
  32.220  3141.00    56.04   795.00    28.20   243.00    15.59    76.00     8.72
  33.413  3022.00    54.97   763.00    27.62   223.00    14.93    80.00     8.94
  34.607  3006.00    54.83   781.00    27.95   241.00    15.52    85.00     9.22
  35.800  2972.00    54.52   786.00    28.04   250.00    15.81    89.00     9.43
  36.993  2891.00    53.77   757.00    27.51   213.00    14.59    68.00     8.25
  38.187  2823.00    53.13   735.00    27.11   232.00    15.23    61.00     7.81
  39.380  2743.00    52.37   742.00    27.24   249.00    15.78    70.00     8.37
  40.573  2822.00    53.12   687.00    26.21   231.00    15.20    90.00     9.49
  41.767  2851.00    53.39   713.00    26.70   221.00    14.87    80.00     8.94
  42.960  2858.00    53.46   722.00    26.87   226.00    15.03    84.00     9.17
  44.153  2748.00    52.42   737.00    27.15   214.00    14.63    85.00     9.22
  45.347  2712.00    52.08   703.00    26.51   218.00    14.76    73.00     8.54
  46.540  2820.00    53.10   728.00    26.98   215.00    14.66    56.00     7.48
  47.733  2769.00    52.62   696.00    26.38   174.00    13.19    77.00     8.77
  48.927  2772.00    52.65   658.00    25.65   230.00    15.17    83.00     9.11
  50.120  2771.00    52.64   710.00    26.65   206.00    14.35    77.00     8.77
  51.313  2729.00    52.24   718.00    26.80   217.00    14.73    65.00     8.06
  52.507  2655.00    51.53   677.00    26.02   183.00    13.53    64.00     8.00
  53.700  2650.00    51.48   660.00    25.69   205.00    14.32    66.00     8.12
  54.893  2562.00    50.62   678.00    26.04   211.00    14.53    65.00     8.06
  56.087  2600.00    50.99   619.00    24.88   197.00    14.04    72.00     8.49
  57.280  2518.00    50.18   644.00    25.38   203.00    14.25    66.00     8.12
  58.473  2500.00    50.00   599.00    24.47   192.00    13.86    53.00     7.28
  59.667  2496.00    49.96   635.00    25.20   183.00    13.53    56.00     7.48
  60.860  2516.00    50.16   609.00    24.68   192.00    13.86    81.00     9.00
  62.053  2515.00    50.15   585.00    24.19   192.00    13.86    66.00     8.12
  63.247  2421.00    49.20   625.00    25.00   197.00    14.04    79.00     8.89
  64.440  2492.00    49.92   626.00    25.02   208.00    14.42    68.00     8.25
  65.633  2416.00    49.15   569.00    23.85   192.00    13.86    75.00     8.66
  66.827  2539.00    50.39   631.00    25.12   185.00    13.60    81.00     9.00
  68.020  2388.00    48.87   643.00    25.36   189.00    13.75    83.00     9.11
  69.213  2426.00    49.25   611.00    24.72   179.00    13.38    75.00     8.66
  70.407  2349.00    48.47   588.00    24.25   202.00    14.21    68.00     8.25
  71.600  2301.00    47.97   558.00    23.62   179.00    13.38    56.00     7.48
  72.793  2388.00    48.87   562.00    23.71   181.00    13.45    60.00     7.75
  73.987  2330.00    48.27   573.00    23.94   187.00    13.67    58.00     7.62
  75.180  2382.00    48.81   603.00    24.56   179.00    13.38    65.00     8.06
  76.373  2331.00    48.28   621.00    24.92   182.00    13.49    63.00     7.94
  77.567  2284.00    47.79   573.00    23.94   181.00    13.45    68.00     8.25
  78.760  2337.00    48.34   580.00    24.08   203.00    14.25    60.00     7.75
  79.953  2175.00    46.64   585.00    24.19   171.00    13.08    59.00     7.68
  81.147  2245.00    47.38   564.00    23.75   190.00    13.78    58.00     7.62
  82.340  2342.00    48.39   561.00    23.69   169.00    13.00    48.00     6.93
  83.533  2239.00    47.32   523.00    22.87   190.00    13.78    56.00     7.48
  84.727  2250.00    47.43   552.00    23.49   173.00    13.15    49.00     7.00
  85.920  2175.00    46.64   573.00    23.94   181.00    13.45    66.00     8.12
  87.113  2317.00    48.14   544.00    23.32   183.00    13.53    66.00     8.12
  88.307  2250.00    47.43   534.00    23.11   165.00    12.85    61.00     7.81
  89.500  2218.00    47.10   553.00    23.52   179.00    13.38    49.00     7.00
  90.693  2212.00    47.03   546.00    23.37   174.00    13.19    61.00     7.81
  91.887  2135.00    46.21   527.00    22.96   157.00    12.53    59.00     7.68
  93.080  2246.00    47.39   557.00    23.60   167.00    12.92    64.00     8.00
  94.273  2166.00    46.54   567.00    23.81   164.00    12.81    67.00     8.19
  95.467  2160.00    46.48   522.00    22.85   155.00    12.45    66.00     8.12
  96.660  2139.00    46.25   576.00    24.00   159.00    12.61    52.00     7.21
  97.853  2190.00    46.80   573.00    23.94   161.00    12.69    64.00     8.00
