#Data for RV of system %i circuit
#t time in days (JD-2,400,000)
#RV radial velocity in m/s
#e_RV uncertainty on RV in m/s
t,RV,e_RV
 49610.5268000001, -5.5165,  9.0000
 49612.4657000001, 27.4835,  9.0000
 49655.3067000001,-19.5185,  7.0000
 49728.2289000000,-57.5218,  7.0000
 49729.2266000002,  4.4781,  7.0000
 49730.2366999998, 56.4781,  8.0000
 49739.2681999998, 31.4777,  8.0000
 49750.2491000001,  3.4772,  8.0000
 49751.2470999998, 19.4771,  9.0000
 49753.2480000001,-60.5230,  8.0000
 49755.2533999998, 65.4769,  7.0000
 49765.2615999999,-30.5235,  8.0000
 49766.2601999999,-61.5236,  8.0000
 49766.2689999999,-65.5236,  8.0000
 49767.2593999999, 19.4764,  8.0000
 49903.5400000000, 67.4702,  8.0000
 49903.5488000000, 62.4702,  7.0000
 49904.5721999998, 25.4701,  7.0000
 49906.5973999999, -3.5300,  7.0000
 49906.6036000000, -5.5300,  7.0000
 49907.5559999999, 85.4700,  7.0000
 49908.5876000002, 39.4700,  7.0000
 49909.5704000001,-46.5301,  7.0000
 49910.5872000000,-17.5301,  9.0000
 49910.5984000000,-13.5301,  7.0000
 49969.3782000002,-41.5328,  7.0000
 49969.5822999999,-37.5328,  7.0000
 49970.4281000001, 37.4671,  7.0000
 49970.6222000001, 43.4671,  7.0000
 49971.4353000000, 63.4671,  7.0000
 49971.6131000002, 40.4671,  8.0000
 49972.3454000000, -9.5330,  7.0000
 49972.3520999998,-16.5330,  7.0000
 49974.3930000002,  7.4669,  8.0000
 49975.4237000002, 52.4669,  7.0000
 49976.4366000001,  2.4669,  7.0000
 49976.5921999998,-23.5332,  7.0000
 50021.2859000000, 29.4648,  7.0000
 50021.4437000002, 28.4648,  7.0000
 50022.3596999999, 62.4648,  7.0000
 50022.4537999998, 42.4648,  7.0000
 50023.2911000000,-25.5353,  7.0000
 50023.4251000001,-29.5353,  7.0000
 50023.4375999998,-37.5353,  7.0000
 50024.3059000000,-57.5353,  7.0000
 50024.4243000001,-55.5353,  7.0000
 50025.2538000001, 14.4646,  7.0000
 50025.4473000001, 19.4646,  7.0000
 50026.2851999998, 37.4646,  9.0000
 50026.4366000001, 54.4646,  8.0000
 50027.3953999998, 14.4645,  7.0000
 50027.4389000000,-27.5355,  7.0000
 50028.2864999999,-67.5355,  7.0000
 50028.3399000000,-63.5355,  7.0000
 50061.2777000000,-41.5370,  7.0000
 50062.2532000002,-79.5371,  7.0000
 50063.2505999999,-39.5371,  7.0000
 50070.2670000000,-43.5374,  8.0000
 50090.2524999999, 30.4617,  9.0000
 50091.2211000002,-24.5384,  7.0000
 50264.5921000000,-20.5463,  8.0000
 50265.5978000001,-39.5463,  7.0000
 50268.6022999999, -0.5465,  7.0000
 50324.4800000000,-38.5490,  7.0000
 50324.4964000001,-36.5490,  7.0000
 50325.4563000002, -1.5491,  7.0000
 50325.5858000000,  2.4509,  7.0000
 50326.4457999999, 61.4509,  7.0000
 50327.4537999998, 34.4508,  7.0000
 50328.4810000001,-33.5492,  7.0000
 50328.4953999999,-35.5492,  7.0000
 50329.4822000000,-14.5492,  7.0000
 50380.3506000000,-19.5516,  7.0000
 50381.3542999998, 44.4484,  7.0000
 50382.3684000000, 20.4483,  7.0000
 50383.3407000001,-43.5517,  7.0000
 50384.3185000001,-41.5517,  7.0000
